            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453759.500000000, A.D. 2006-Jan-24 00:00:00.0000, -6.559092020820662E+08, -4.807056778805163E+08,  1.667298383580258E+07,  7.567134289449290E+00, -9.933973889100360E+00, -1.281502598966395E-01,  2.713114508459735E+03,  8.133712673266056E+08, -2.338071386146435E-01,
2453760.500000000, A.D. 2006-Jan-25 00:00:00.0000, -6.552546966100119E+08, -4.815634978946486E+08,  1.666189891401249E+07,  7.582667578781509E+00, -9.921910369419706E+00, -1.284166374198072E-01,  2.713046677571190E+03,  8.133509321378003E+08, -2.369067741266611E-01,
2453761.500000000, A.D. 2006-Jan-26 00:00:00.0000, -6.545990637783159E+08, -4.824203059921266E+08,  1.665078699672717E+07,  7.594973726417896E+00, -9.912579611802080E+00, -1.288250894766834E-01,  2.712978589756457E+03,  8.133305199244617E+08, -2.357934882115434E-01,
2453762.500000000, A.D. 2006-Jan-27 00:00:00.0000, -6.539421944504633E+08, -4.832762677226649E+08,  1.663964354922897E+07,  7.609253778648419E+00, -9.900955138271323E+00, -1.291282569778898E-01,  2.712910278541042E+03,  8.133100407372836E+08, -2.376266202487404E-01,
2453763.500000000, A.D. 2006-Jan-28 00:00:00.0000, -6.532841996067350E+08, -4.841313356682229E+08,  1.662846807675582E+07,  7.623244929508575E+00, -9.892124481726468E+00, -1.295399781106723E-01,  2.712841948163650E+03,  8.132895558054889E+08, -2.375686177905805E-01,
2453764.500000000, A.D. 2006-Jan-29 00:00:00.0000, -6.526249565588671E+08, -4.849854943609669E+08,  1.661726315001807E+07,  7.635994634919374E+00, -9.880822272735468E+00, -1.298752049709977E-01,  2.712773239336440E+03,  8.132689574172935E+08, -2.379819873302914E-01,
2453765.500000000, A.D. 2006-Jan-30 00:00:00.0000, -6.519645664680936E+08, -4.858388702821762E+08,  1.660602285668856E+07,  7.651749047657635E+00, -9.872185727633260E+00, -1.302657164770187E-01,  2.712704674760529E+03,  8.132484022745494E+08, -2.392145922091535E-01,
2453766.500000000, A.D. 2006-Jan-31 00:00:00.0000, -6.513028562510068E+08, -4.866913057135673E+08,  1.659475493466792E+07,  7.665280973892916E+00, -9.861045515277771E+00, -1.306047100974554E-01,  2.712635478843426E+03,  8.132276578604778E+08, -2.401561555379212E-01,
2453767.500000000, A.D. 2006-Feb-01 00:00:00.0000, -6.506398857704074E+08, -4.875428336604161E+08,  1.658345724819949E+07,  7.680764203975865E+00, -9.849060715280762E+00, -1.308781920904956E-01,  2.712565878046892E+03,  8.132067920666058E+08, -2.431644559725724E-01,
2453768.500000000, A.D. 2006-Feb-02 00:00:00.0000, -6.499757942505071E+08, -4.883933082516171E+08,  1.657213373341897E+07,  7.692394306464934E+00, -9.839069311167034E+00, -1.312744988829628E-01,  2.712495952345760E+03,  8.131858288687862E+08, -2.419004114468089E-01,
2453769.500000000, A.D. 2006-Feb-03 00:00:00.0000, -6.493105177914302E+08, -4.892429328212248E+08,  1.656077797514448E+07,  7.706592221323705E+00, -9.827511829326793E+00, -1.315817979463030E-01,  2.712425937292904E+03,  8.131648388839931E+08, -2.436280608655344E-01,
2453770.500000000, A.D. 2006-Feb-04 00:00:00.0000, -6.486441477566916E+08, -4.900916408445587E+08,  1.654939048058599E+07,  7.719788238772068E+00, -9.818682870222627E+00, -1.320064808419064E-01,  2.712355943094144E+03,  8.131438551511016E+08, -2.429160470767954E-01,
2453771.500000000, A.D. 2006-Feb-05 00:00:00.0000, -6.479765559934458E+08, -4.909394613220397E+08,  1.653797224901384E+07,  7.732572650691853E+00, -9.807254248447563E+00, -1.323375451715942E-01,  2.712285686972295E+03,  8.131227928956431E+08, -2.434395810353808E-01,
2453772.500000000, A.D. 2006-Feb-06 00:00:00.0000, -6.473078611072098E+08, -4.917864930408393E+08,  1.652651819333825E+07,  7.747677087111204E+00, -9.799171556835773E+00, -1.327575091846898E-01,  2.712215683601578E+03,  8.131018064130672E+08, -2.437899989803070E-01,
2453773.500000000, A.D. 2006-Feb-07 00:00:00.0000, -6.466378475382178E+08, -4.926326250367081E+08,  1.651503501338550E+07,  7.761313372335078E+00, -9.788022358844165E+00, -1.330951964883935E-01,  2.712145138216508E+03,  8.130806574386766E+08, -2.448193726045928E-01,
2453774.500000000, A.D. 2006-Feb-08 00:00:00.0000, -6.459665839446745E+08, -4.934778737652993E+08,  1.650352091580686E+07,  7.777050743430386E+00, -9.776663347643010E+00, -1.333896875276701E-01,  2.712074267430239E+03,  8.130594109114606E+08, -2.476439696534099E-01,
2453775.500000000, A.D. 2006-Feb-09 00:00:00.0000, -6.452941589291210E+08, -4.943220696066466E+08,  1.649198140036479E+07,  7.788693978586770E+00, -9.766257369998748E+00, -1.337723130143118E-01,  2.712002963304714E+03,  8.130380344724039E+08, -2.466407924541391E-01,
2453776.500000000, A.D. 2006-Feb-10 00:00:00.0000, -6.446205502890834E+08, -4.951654241000029E+08,  1.648040920942357E+07,  7.803392679678288E+00, -9.754932556296209E+00, -1.340816907757763E-01,  2.711931595026103E+03,  8.130166388007360E+08, -2.486193744082802E-01,
2453777.500000000, A.D. 2006-Feb-11 00:00:00.0000, -6.439458194750091E+08, -4.960078372137668E+08,  1.646880645770043E+07,  7.816438997013633E+00, -9.745831359881862E+00, -1.345012699564623E-01,  2.711860122600351E+03,  8.129952119065405E+08, -2.479344934317472E-01,
2453778.500000000, A.D. 2006-Feb-12 00:00:00.0000, -6.432698478770758E+08, -4.968493611011845E+08,  1.645717304501894E+07,  7.829827377142678E+00, -9.734000230297841E+00, -1.348120587469031E-01,  2.711788338841718E+03,  8.129736916770955E+08, -2.491823510026733E-01,
2453779.500000000, A.D. 2006-Feb-13 00:00:00.0000, -6.425927733155271E+08, -4.976900453983279E+08,  1.644550540195349E+07,  7.844550537537964E+00, -9.725803086737425E+00, -1.352359583183893E-01,  2.711716709344842E+03,  8.129522176941617E+08, -2.492645014421755E-01,
2453780.500000000, A.D. 2006-Feb-14 00:00:00.0000, -6.419143666177100E+08, -4.985298215603993E+08,  1.643380891720465E+07,  7.858482027922164E+00, -9.714060903317158E+00, -1.355508332516924E-01,  2.711644491157434E+03,  8.129305672262462E+08, -2.508837648470699E-01,
2453781.500000000, A.D. 2006-Feb-15 00:00:00.0000, -6.412347206561472E+08, -4.993686789756123E+08,  1.642208231274176E+07,  7.874226683494638E+00, -9.702706236035564E+00, -1.358497217799894E-01,  2.711571908509572E+03,  8.129088074958358E+08, -2.536949847362068E-01,
2453782.500000000, A.D. 2006-Feb-16 00:00:00.0000, -6.405538921313536E+08, -5.002064392934295E+08,  1.641033185664663E+07,  7.885661340150387E+00, -9.691305938886034E+00, -1.362027244068864E-01,  2.711498745638185E+03,  8.128868738187882E+08, -2.531380025983728E-01,
2453783.500000000, A.D. 2006-Feb-17 00:00:00.0000, -6.398719215225652E+08, -5.010433209512950E+08,  1.639854925328144E+07,  7.900246069947608E+00, -9.679900038246526E+00, -1.365126072075706E-01,  2.711425555947684E+03,  8.128649321015728E+08, -2.550669516715502E-01,
2453784.500000000, A.D. 2006-Feb-18 00:00:00.0000, -6.391888468656338E+08, -5.018792157026401E+08,  1.638673731471777E+07,  7.912554248379961E+00, -9.670266057104399E+00, -1.369258960121122E-01,  2.711352216995455E+03,  8.128429456368170E+08, -2.541138496761515E-01,
2453785.500000000, A.D. 2006-Feb-19 00:00:00.0000, -6.385045733106649E+08, -5.027142154873293E+08,  1.637489411231494E+07,  7.925911376079427E+00, -9.658232392386873E+00, -1.372317972661445E-01,  2.711278668913353E+03,  8.128208964765022E+08, -2.554647625299324E-01,
2453786.500000000, A.D. 2006-Feb-20 00:00:00.0000, -6.378192439313172E+08, -5.035483401111498E+08,  1.636301716703168E+07,  7.939635531679915E+00, -9.650105494032383E+00, -1.376734074650448E-01,  2.711205327852414E+03,  8.127989093795708E+08, -2.546884333009525E-01,
2453787.500000000, A.D. 2006-Feb-21 00:00:00.0000, -6.371326182718072E+08, -5.043815857360457E+08,  1.635110978521627E+07,  7.953501852295680E+00, -9.638353253964349E+00, -1.379891301807068E-01,  2.711131557289751E+03,  8.127767935212623E+08, -2.562620371805723E-01,
2453788.500000000, A.D. 2006-Feb-22 00:00:00.0000, -6.364447900003644E+08, -5.052139230384553E+08,  1.633917128447238E+07,  7.968935933073694E+00, -9.627611460870288E+00, -1.383163249743964E-01,  2.711057542954311E+03,  8.127546045817136E+08, -2.584351706607303E-01,
